utterance,emotion,clean_text,tokens
I'll apply everything exactly as prescribed. I've been through worse than a dental routine.,neutral,ill apply everything exactly as prescribed ive been through worse than a dental routine,"['ill', 'apply', 'everything', 'exactly', 'as', 'prescribed', 'ive', 'been', 'through', 'worse', 'than', 'a', 'dental', 'routine']"
Three weeks. I'll be here. And hopefully tasting something normal by then.,neutral,three weeks ill be here and hopefully tasting something normal by then,"['three', 'weeks', 'ill', 'be', 'here', 'and', 'hopefully', 'tasting', 'something', 'normal', 'by', 'then']"
Thank you for taking all of this seriously. And for explaining what was happening.,neutral,thank you for taking all of this seriously and for explaining what was happening,"['thank', 'you', 'for', 'taking', 'all', 'of', 'this', 'seriously', 'and', 'for', 'explaining', 'what', 'was', 'happening']"
Doctor I have this horrible swelling in my jaw and there's a disgusting taste I can't get rid of.,disgust,doctor i have this horrible swelling in my jaw and theres a disgusting taste i cant get rid of,"['doctor', 'i', 'have', 'this', 'horrible', 'swelling', 'in', 'my', 'jaw', 'and', 'theres', 'a', 'disgusting', 'taste', 'i', 'cant', 'get', 'rid', 'of']"
Three days. The taste started on the second day and I almost threw up when I noticed it.,disgust,three days the taste started on the second day and i almost threw up when i noticed it,"['three', 'days', 'the', 'taste', 'started', 'on', 'the', 'second', 'day', 'and', 'i', 'almost', 'threw', 'up', 'when', 'i', 'noticed', 'it']"
I'm scared too. I looked in the mirror and the gum looks awful.,neutral,im scared too i looked in the mirror and the gum looks awful,"['im', 'scared', 'too', 'i', 'looked', 'in', 'the', 'mirror', 'and', 'the', 'gum', 'looks', 'awful']"
Is that pus in there? There's pus in my mouth right now?,disgust,is that pus in there theres pus in my mouth right now,"['is', 'that', 'pus', 'in', 'there', 'theres', 'pus', 'in', 'my', 'mouth', 'right', 'now']"
That is the most revolting thing I have ever heard about my own body. I feel sick.,disgust,that is the most revolting thing i have ever heard about my own body i feel sick,"['that', 'is', 'the', 'most', 'revolting', 'thing', 'i', 'have', 'ever', 'heard', 'about', 'my', 'own', 'body', 'i', 'feel', 'sick']"
It's been leaking that disgusting taste down my throat for two days. I can't eat anything.,disgust,its been leaking that disgusting taste down my throat for two days i cant eat anything,"['its', 'been', 'leaking', 'that', 'disgusting', 'taste', 'down', 'my', 'throat', 'for', 'two', 'days', 'i', 'cant', 'eat', 'anything']"
Please just get it out. I can't stand another day of this.,neutral,please just get it out i cant stand another day of this,"['please', 'just', 'get', 'it', 'out', 'i', 'cant', 'stand', 'another', 'day', 'of', 'this']"
How does an abscess even form? I brush every day.,neutral,how does an abscess even form i brush every day,"['how', 'does', 'an', 'abscess', 'even', 'form', 'i', 'brush', 'every', 'day']"
So decay was rotting its way to the root of my tooth without me knowing.,disgust,so decay was rotting its way to the root of my tooth without me knowing,"['so', 'decay', 'was', 'rotting', 'its', 'way', 'to', 'the', 'root', 'of', 'my', 'tooth', 'without', 'me', 'knowing']"
My tooth was rotting at the root and producing pus and I had no idea until the taste started.,disgust,my tooth was rotting at the root and producing pus and i had no idea until the taste started,"['my', 'tooth', 'was', 'rotting', 'at', 'the', 'root', 'and', 'producing', 'pus', 'and', 'i', 'had', 'no', 'idea', 'until', 'the', 'taste', 'started']"
I keep running my tongue over it and then feeling disgusted at myself for doing it.,disgust,i keep running my tongue over it and then feeling disgusted at myself for doing it,"['i', 'keep', 'running', 'my', 'tongue', 'over', 'it', 'and', 'then', 'feeling', 'disgusted', 'at', 'myself', 'for', 'doing', 'it']"
Okay. I can feel pressure but not pain.,neutral,okay i can feel pressure but not pain,"['okay', 'i', 'can', 'feel', 'pressure', 'but', 'not', 'pain']"
I can feel the pressure dropping. Oh that's a relief.,neutral,i can feel the pressure dropping oh thats a relief,"['i', 'can', 'feel', 'the', 'pressure', 'dropping', 'oh', 'thats', 'a', 'relief']"
How much pus was in there?,neutral,how much pus was in there,"['how', 'much', 'pus', 'was', 'in', 'there']"
The idea of all of that sitting inside my jaw for days makes me want to gag.,disgust,the idea of all of that sitting inside my jaw for days makes me want to gag,"['the', 'idea', 'of', 'all', 'of', 'that', 'sitting', 'inside', 'my', 'jaw', 'for', 'days', 'makes', 'me', 'want', 'to', 'gag']"
Good. What happens to the tooth?,neutral,good what happens to the tooth,"['good', 'what', 'happens', 'to', 'the', 'tooth']"
The decay got that deep? All the way to the point of pus and infection?,disgust,the decay got that deep all the way to the point of pus and infection,"['the', 'decay', 'got', 'that', 'deep', 'all', 'the', 'way', 'to', 'the', 'point', 'of', 'pus', 'and', 'infection']"
What would you recommend?,neutral,what would you recommend,"['what', 'would', 'you', 'recommend']"
Let's save it. I don't want to lose a tooth over an infection that I could have prevented.,neutral,lets save it i dont want to lose a tooth over an infection that i could have prevented,"['lets', 'save', 'it', 'i', 'dont', 'want', 'to', 'lose', 'a', 'tooth', 'over', 'an', 'infection', 'that', 'i', 'could', 'have', 'prevented']"
Two more days of this in my mouth. Even after draining it still feels unclean.,disgust,two more days of this in my mouth even after draining it still feels unclean,"['two', 'more', 'days', 'of', 'this', 'in', 'my', 'mouth', 'even', 'after', 'draining', 'it', 'still', 'feels', 'unclean']"
Can I eat today?,neutral,can i eat today,"['can', 'i', 'eat', 'today']"
My whole jaw feels gross. Like something contaminated it.,disgust,my whole jaw feels gross like something contaminated it,"['my', 'whole', 'jaw', 'feels', 'gross', 'like', 'something', 'contaminated', 'it']"
I will. I'll do everything to make sure this never happens again.,neutral,i will ill do everything to make sure this never happens again,"['i', 'will', 'ill', 'do', 'everything', 'to', 'make', 'sure', 'this', 'never', 'happens', 'again']"
I never want to taste that flavor ever again. It was absolutely revolting.,disgust,i never want to taste that flavor ever again it was absolutely revolting,"['i', 'never', 'want', 'to', 'taste', 'that', 'flavor', 'ever', 'again', 'it', 'was', 'absolutely', 'revolting']"
I'll be here. Thank you for taking me in today.,neutral,ill be here thank you for taking me in today,"['ill', 'be', 'here', 'thank', 'you', 'for', 'taking', 'me', 'in', 'today']"
I will. Even knowing it's draining I still feel contaminated somehow.,disgust,i will even knowing its draining i still feel contaminated somehow,"['i', 'will', 'even', 'knowing', 'its', 'draining', 'i', 'still', 'feel', 'contaminated', 'somehow']"
Thank you doctor. I'm so relieved it's draining.,neutral,thank you doctor im so relieved its draining,"['thank', 'you', 'doctor', 'im', 'so', 'relieved', 'its', 'draining']"
Hello doctor. I have not seen a dentist in six years and my gums have been bleeding and swollen for months.,disgust,hello doctor i have not seen a dentist in six years and my gums have been bleeding and swollen for months,"['hello', 'doctor', 'i', 'have', 'not', 'seen', 'a', 'dentist', 'in', 'six', 'years', 'and', 'my', 'gums', 'have', 'been', 'bleeding', 'and', 'swollen', 'for', 'months']"
My gums look angry and red all the time. Sometimes they bleed even without touching them.,disgust,my gums look angry and red all the time sometimes they bleed even without touching them,"['my', 'gums', 'look', 'angry', 'and', 'red', 'all', 'the', 'time', 'sometimes', 'they', 'bleed', 'even', 'without', 'touching', 'them']"
The smell from my mouth has been horrifying me every morning when I brush.,disgust,the smell from my mouth has been horrifying me every morning when i brush,"['the', 'smell', 'from', 'my', 'mouth', 'has', 'been', 'horrifying', 'me', 'every', 'morning', 'when', 'i', 'brush']"
I keep waking up with this horrible film on my teeth and taste in my mouth. It's revolting.,disgust,i keep waking up with this horrible film on my teeth and taste in my mouth its revolting,"['i', 'keep', 'waking', 'up', 'with', 'this', 'horrible', 'film', 'on', 'my', 'teeth', 'and', 'taste', 'in', 'my', 'mouth', 'its', 'revolting']"
I sleep and bacteria throw a party in my mouth. That image disturbs me deeply.,disgust,i sleep and bacteria throw a party in my mouth that image disturbs me deeply,"['i', 'sleep', 'and', 'bacteria', 'throw', 'a', 'party', 'in', 'my', 'mouth', 'that', 'image', 'disturbs', 'me', 'deeply']"
Is that bad?,neutral,is that bad,"['is', 'that', 'bad']"
My bone has been dissolving under my teeth for years while I went to work and lived my life.,disgust,my bone has been dissolving under my teeth for years while i went to work and lived my life,"['my', 'bone', 'has', 'been', 'dissolving', 'under', 'my', 'teeth', 'for', 'years', 'while', 'i', 'went', 'to', 'work', 'and', 'lived', 'my', 'life']"
I see suppuration on probing in four sites. Active pus expression.,neutral,i see suppuration on probing in four sites active pus expression,"['i', 'see', 'suppuration', 'on', 'probing', 'in', 'four', 'sites', 'active', 'pus', 'expression']"
You're pressing on my gum and pus is coming out. I can feel it slightly.,disgust,youre pressing on my gum and pus is coming out i can feel it slightly,"['youre', 'pressing', 'on', 'my', 'gum', 'and', 'pus', 'is', 'coming', 'out', 'i', 'can', 'feel', 'it', 'slightly']"
Pus pockets in my gum tissue. I keep trying to understand that and feeling more revolted each time.,disgust,pus pockets in my gum tissue i keep trying to understand that and feeling more revolted each time,"['pus', 'pockets', 'in', 'my', 'gum', 'tissue', 'i', 'keep', 'trying', 'to', 'understand', 'that', 'and', 'feeling', 'more', 'revolted', 'each', 'time']"
Of course. I want the complete picture even if it's bad.,neutral,of course i want the complete picture even if its bad,"['of', 'course', 'i', 'want', 'the', 'complete', 'picture', 'even', 'if', 'its', 'bad']"
What is furcation involvement?,neutral,what is furcation involvement,"['what', 'is', 'furcation', 'involvement']"
The infection has eaten into the root forks. I am so disgusted at what I let happen.,disgust,the infection has eaten into the root forks i am so disgusted at what i let happen,"['the', 'infection', 'has', 'eaten', 'into', 'the', 'root', 'forks', 'i', 'am', 'so', 'disgusted', 'at', 'what', 'i', 'let', 'happen']"
I knew something was wrong. I kept telling myself it would settle. It never settled. It just got worse.,neutral,i knew something was wrong i kept telling myself it would settle it never settled it just got worse,"['i', 'knew', 'something', 'was', 'wrong', 'i', 'kept', 'telling', 'myself', 'it', 'would', 'settle', 'it', 'never', 'settled', 'it', 'just', 'got', 'worse']"
I wake up every morning with this coating on my tongue and this vile taste and I just rinsed and lived with it.,disgust,i wake up every morning with this coating on my tongue and this vile taste and i just rinsed and lived with it,"['i', 'wake', 'up', 'every', 'morning', 'with', 'this', 'coating', 'on', 'my', 'tongue', 'and', 'this', 'vile', 'taste', 'and', 'i', 'just', 'rinsed', 'and', 'lived', 'with', 'it']"
Gas from bacteria digesting tissue in my gums. That is the most revolting thing I have learned about my own body.,disgust,gas from bacteria digesting tissue in my gums that is the most revolting thing i have learned about my own body,"['gas', 'from', 'bacteria', 'digesting', 'tissue', 'in', 'my', 'gums', 'that', 'is', 'the', 'most', 'revolting', 'thing', 'i', 'have', 'learned', 'about', 'my', 'own', 'body']"
My colleagues must have noticed. I noticed them giving me more space in meetings.,disgust,my colleagues must have noticed i noticed them giving me more space in meetings,"['my', 'colleagues', 'must', 'have', 'noticed', 'i', 'noticed', 'them', 'giving', 'me', 'more', 'space', 'in', 'meetings']"
I let this happen because I was scared to come in. Six years of cowardice destroying my gums.,disgust,i let this happen because i was scared to come in six years of cowardice destroying my gums,"['i', 'let', 'this', 'happen', 'because', 'i', 'was', 'scared', 'to', 'come', 'in', 'six', 'years', 'of', 'cowardice', 'destroying', 'my', 'gums']"
What can be saved?,neutral,what can be saved,"['what', 'can', 'be', 'saved']"
Two teeth likely coming out. Ten needing deep cleaning. This is the result of six years of avoidance.,disgust,two teeth likely coming out ten needing deep cleaning this is the result of six years of avoidance,"['two', 'teeth', 'likely', 'coming', 'out', 'ten', 'needing', 'deep', 'cleaning', 'this', 'is', 'the', 'result', 'of', 'six', 'years', 'of', 'avoidance']"
